unique_key,created_date,complaint_type,incident_zip
59667303,2023-12-08 12:00:00,Derelict Vehicles,10019
59674686,2023-12-08 12:00:00,Derelict Vehicles,10033
59670275,2023-12-08 12:00:00,Derelict Vehicles,11369
59667305,2023-12-08 12:00:00,Derelict Vehicles,10033
59676141,2023-12-08 12:00:00,Derelict Vehicles,00nan
59676143,2023-12-08 12:00:00,Derelict Vehicles,11231
59669181,2023-12-08 01:03:18,Graffiti,11237
59664827,2023-12-08 01:01:06,Street Condition,10037
59668455,2023-12-08 00:59:24,Street Condition,10037
59674353,2023-12-08 00:43:17,Street Condition,11433
59673761,2023-12-08 00:34:00,Traffic Signal Condition,10306
59667808,2023-12-08 00:18:00,Traffic Signal Condition,11231
59672271,2023-12-07 23:54:00,Street Light Condition,10465
59671979,2023-12-07 23:53:00,Water System,11217
59674868,2023-12-07 23:53:00,Lead,10021
59669667,2023-12-07 23:52:35,HEAT/HOT WATER,10468
59669498,2023-12-07 23:52:19,ELECTRIC,11221
59670987,2023-12-07 23:52:19,ELECTRIC,11221
59672457,2023-12-07 23:52:19,ELECTRIC,11221
59669325,2023-12-07 23:52:00,Traffic Signal Condition,10457
59669764,2023-12-07 23:51:53,HEAT/HOT WATER,10032
59667105,2023-12-07 23:51:28,Taxi Complaint,11232
59670197,2023-12-07 23:51:03,Noise - Residential,11372
59665755,2023-12-07 23:51:03,Noise - Helicopter,10025
59674623,2023-12-07 23:50:54,Noise - Residential,10004
59674621,2023-12-07 23:50:45,Noise - Residential,11370
59667098,2023-12-07 23:50:18,Rodent,10455
59674628,2023-12-07 23:50:12,Noise - Vehicle,10036
59667514,2023-12-07 23:50:00,Noise,11217
59665017,2023-12-07 23:49:59,DOOR/WINDOW,11203
59665025,2023-12-07 23:49:59,DOOR/WINDOW,11203
59665019,2023-12-07 23:49:59,DOOR/WINDOW,11203
59675842,2023-12-07 23:49:59,DOOR/WINDOW,11203
59669780,2023-12-07 23:49:59,PAINT/PLASTER,11203
59667243,2023-12-07 23:49:44,Noise - Residential,10452
59673141,2023-12-07 23:49:31,Noise - Residential,11435
59675766,2023-12-07 23:49:17,UNSANITARY CONDITION,11379
59676004,2023-12-07 23:49:14,Illegal Parking,11421
59670202,2023-12-07 23:49:12,Noise - Residential,10023
59669547,2023-12-07 23:48:56,HEAT/HOT WATER,10023
59670207,2023-12-07 23:48:54,Noise - Street/Sidewalk,10010
59667245,2023-12-07 23:48:43,Noise - Residential,11236
59674722,2023-12-07 23:48:42,Dirty Condition,11235
59675919,2023-12-07 23:48:23,Blocked Driveway,10467
59670149,2023-12-07 23:48:16,Noise - Helicopter,10025
59672268,2023-12-07 23:48:00,Street Light Condition,11207
59668714,2023-12-07 23:47:46,Noise - Residential,10462
59667246,2023-12-07 23:47:24,Noise - Residential,11229
59670205,2023-12-07 23:46:41,Noise - Residential,10451
59673145,2023-12-07 23:46:39,Noise - Residential,11433
59668707,2023-12-07 23:46:37,Noise - Residential,11229
59668525,2023-12-07 23:46:25,Blocked Driveway,11377
59667251,2023-12-07 23:46:02,Noise - Residential,11433
59666559,2023-12-07 23:45:54,HEAT/HOT WATER,10039
59669653,2023-12-07 23:45:53,HEAT/HOT WATER,10462
59671125,2023-12-07 23:45:52,HEAT/HOT WATER,11216
59668717,2023-12-07 23:45:47,Noise - Vehicle,10036
59673143,2023-12-07 23:45:36,Noise - Residential,10025
59673147,2023-12-07 23:45:24,Noise - Street/Sidewalk,11233
59671483,2023-12-07 23:45:22,Blocked Driveway,10461
59671607,2023-12-07 23:45:12,Noise - Helicopter,10025
59671576,2023-12-07 23:44:56,Illegal Parking,11368
59667351,2023-12-07 23:44:34,Illegal Dumping,10303
59665648,2023-12-07 23:44:33,Rodent,11231
59674707,2023-12-07 23:44:27,Encampment,11101
59670109,2023-12-07 23:44:00,Illegal Parking,11421
59674526,2023-12-07 23:43:56,Illegal Parking,11691
59673067,2023-12-07 23:43:53,Noise - Commercial,11206
59673047,2023-12-07 23:43:41,Illegal Parking,11208
59666815,2023-12-07 23:43:40,HEAT/HOT WATER,10452
59671320,2023-12-07 23:43:40,UNSANITARY CONDITION,10452
59668299,2023-12-07 23:43:39,HEAT/HOT WATER,10452
59667255,2023-12-07 23:43:39,Noise - Street/Sidewalk,10003
59667256,2023-12-07 23:43:25,Noise - Street/Sidewalk,10026
59665847,2023-12-07 23:43:08,Encampment,11101
59666727,2023-12-07 23:43:05,HEAT/HOT WATER,11208
59673995,2023-12-07 23:43:05,HEAT/HOT WATER,11105
59666690,2023-12-07 23:43:04,HEAT/HOT WATER,10460
59674149,2023-12-07 23:43:03,HEAT/HOT WATER,10466
59671176,2023-12-07 23:43:02,HEAT/HOT WATER,11225
59674290,2023-12-07 23:42:51,UNSANITARY CONDITION,10034
59674235,2023-12-07 23:42:51,PAINT/PLASTER,10034
59671008,2023-12-07 23:42:51,GENERAL,10034
59671303,2023-12-07 23:42:51,PLUMBING,10034
59674259,2023-12-07 23:42:51,PLUMBING,10034
59674630,2023-12-07 23:42:45,Noise - Vehicle,11226
59670039,2023-12-07 23:42:20,Noise - Helicopter,10128
59676086,2023-12-07 23:42:14,Noise - Residential,10462
59676079,2023-12-07 23:41:58,Noise - Residential,10452
59665251,2023-12-07 23:41:17,HEAT/HOT WATER,11226
59668374,2023-12-07 23:41:07,UNSANITARY CONDITION,10468
59668026,2023-12-07 23:41:07,ELEVATOR,10468
59670479,2023-12-07 23:41:00,Hazardous Materials,10467
59675832,2023-12-07 23:40:53,PLUMBING,10039
59666860,2023-12-07 23:40:53,PLUMBING,10039
59673983,2023-12-07 23:40:52,HEAT/HOT WATER,10039
59670204,2023-12-07 23:40:16,Noise - Residential,10451
59676088,2023-12-07 23:39:53,Noise - Street/Sidewalk,10010
59667046,2023-12-07 23:39:50,Animal-Abuse,11217
59665702,2023-12-07 23:39:20,Illegal Parking,10460
59670130,2023-12-07 23:39:19,Noise - Helicopter,10128
59665779,2023-12-07 23:39:13,Non-Emergency Police Matter,11418
59673068,2023-12-07 23:39:01,Noise - Commercial,11249
59671591,2023-12-07 23:38:49,Noise - Commercial,11249
